USD/CAD / 1day / VOLATILITY_SQUEEZE ma150: done (20.2s, 5000 candles)
USD/CAD / 1week / VOLATILITY_SQUEEZE ma150: done (8.9s, 2325 candles)
EUR/USD / 1h / VOLATILITY_SQUEEZE ma100: done (18.3s, 4990 candles)
EUR/USD / 4h / VOLATILITY_SQUEEZE ma100: done (19.7s, 4997 candles)
EUR/USD / 1day / VOLATILITY_SQUEEZE ma100: done (20.8s, 5000 candles)
EUR/USD / 1week / VOLATILITY_SQUEEZE ma100: done (8.5s, 2201 candles)
GBP/USD / 1h / VOLATILITY_SQUEEZE ma100: done (19.3s, 4990 candles)
GBP/USD / 4h / VOLATILITY_SQUEEZE ma100: done (20.4s, 4997 candles)
GBP/USD / 1day / VOLATILITY_SQUEEZE ma100: done (20.0s, 5000 candles)
GBP/USD / 1week / VOLATILITY_SQUEEZE ma100: done (11.8s, 2898 candles)
USD/JPY / 1h / VOLATILITY_SQUEEZE ma100: done (19.4s, 4990 candles)
USD/JPY / 4h / VOLATILITY_SQUEEZE ma100: done (21.2s, 4997 candles)
USD/JPY / 1day / VOLATILITY_SQUEEZE ma100: done (21.2s, 5000 candles)
USD/JPY / 1week / VOLATILITY_SQUEEZE ma100: done (11.9s, 2897 candles)
USD/CHF / 1h / VOLATILITY_SQUEEZE ma100: done (19.7s, 4990 candles)
USD/CHF / 4h / VOLATILITY_SQUEEZE ma100: done (20.2s, 4997 candles)
USD/CHF / 1day / VOLATILITY_SQUEEZE ma100: done (19.6s, 5000 candles)
USD/CHF / 1week / VOLATILITY_SQUEEZE ma100: done (11.0s, 2898 candles)
EUR/GBP / 1h / VOLATILITY_SQUEEZE ma100: done (19.8s, 4990 candles)
EUR/GBP / 4h / VOLATILITY_SQUEEZE ma100: done (19.3s, 4997 candles)
EUR/GBP / 1day / VOLATILITY_SQUEEZE ma100: done (21.4s, 5000 candles)
EUR/GBP / 1week / VOLATILITY_SQUEEZE ma100: done (8.3s, 2099 candles)
EUR/JPY / 1h / VOLATILITY_SQUEEZE ma100: done (19.7s, 4990 candles)
EUR/JPY / 4h / VOLATILITY_SQUEEZE ma100: done (21.0s, 4997 candles)
EUR/JPY / 1day / VOLATILITY_SQUEEZE ma100: done (20.8s, 5000 candles)
EUR/JPY / 1week / VOLATILITY_SQUEEZE ma100: done (10.7s, 2691 candles)
GBP/JPY / 1h / VOLATILITY_SQUEEZE ma100: done (19.8s, 4990 candles)
GBP/JPY / 4h / VOLATILITY_SQUEEZE ma100: done (20.4s, 4997 candles)
